x1,x2,y_oakface
6.54411,1528.09,0.971949
6.52763,1531.95,0.972068
6.51123,1535.81,0.969213
6.49491,1539.67,0.96509
6.47867,1543.53,0.971872
6.46251,1547.38,0.975319
6.44644,1551.24,0.973038
6.43044,1555.1,0.972906
6.41453,1558.96,0.965412
6.39869,1562.82,0.970742
6.38293,1566.68,0.970432
6.36724,1570.54,0.969584
6.35164,1574.4,0.969099
6.33611,1578.25,0.970461
6.32065,1582.11,0.971653
6.30528,1585.97,0.971965
6.28997,1589.83,0.971475
6.27474,1593.69,0.972812
6.25959,1597.55,0.974827
6.2445,1601.41,0.974083
6.22949,1605.27,0.971485
6.21455,1609.13,0.971776
6.19969,1612.98,0.971371
6.18489,1616.84,0.970607
6.17016,1620.7,0.971483
6.15551,1624.56,0.97422
6.14092,1628.42,0.974667
6.1264,1632.28,0.974234
6.11195,1636.14,0.97186
6.09757,1640.0,0.972317
6.08326,1643.85,0.971345
6.06901,1647.71,0.973216
6.05483,1651.57,0.968075
6.04072,1655.43,0.973178
6.02667,1659.29,0.974908
6.01269,1663.15,0.973744
5.99877,1667.01,0.973303
5.98492,1670.87,0.973188
5.97113,1674.72,0.973639
5.9574,1678.58,0.974834
5.94373,1682.44,0.972996
5.93013,1686.3,0.973298
5.91659,1690.16,0.97452
5.90312,1694.02,0.974393
5.8897,1697.88,0.972231
5.87635,1701.74,0.975053
5.86305,1705.6,0.976645
5.84982,1709.45,0.975945
5.83664,1713.31,0.976264
5.82352,1717.17,0.976316
5.81047,1721.03,0.978237
5.79747,1724.89,0.980382
5.78453,1728.75,0.978795
5.77164,1732.61,0.975611
5.75882,1736.47,0.977039
5.74605,1740.32,0.979439
5.73334,1744.18,0.977804
5.72068,1748.04,0.974722
5.70808,1751.9,0.977957
5.69553,1755.76,0.979048
5.68304,1759.62,0.975187
5.67061,1763.48,0.978763
5.65823,1767.34,0.973234
5.6459,1771.2,0.973394
5.63363,1775.05,0.972099
5.62141,1778.91,0.973214
5.60924,1782.77,0.970684
5.59712,1786.63,0.970549
5.58506,1790.49,0.970227
5.57305,1794.35,0.966149
5.56109,1798.21,0.96713
5.54918,1802.07,0.968909
