x1,x2,y_clybrkcm
5.45572,1832.94,0.888438
5.44426,1836.8,0.886883
5.43284,1840.66,0.890226
5.42148,1844.51,0.893804
5.41016,1848.37,0.895478
5.39889,1852.23,0.900468
5.38766,1856.09,0.904596
5.37649,1859.95,0.904324
5.36536,1863.81,0.904889
5.35427,1867.67,0.904371
5.34323,1871.53,0.905669
5.33224,1875.38,0.905176
5.32129,1879.24,0.905131
5.31038,1883.1,0.902757
5.29952,1886.96,0.900908
5.28871,1890.82,0.897323
5.27794,1894.68,0.89517
5.26721,1898.54,0.892731
5.25652,1902.4,0.889846
5.24588,1906.25,0.885419
5.23529,1910.11,0.883551
5.22473,1913.97,0.880069
5.21422,1917.83,0.875447
5.20375,1921.69,0.877193
5.19332,1925.55,0.876823
5.18293,1929.41,0.873653
5.17259,1933.27,0.870653
5.16228,1937.13,0.870445
5.15202,1940.98,0.86767
5.1418,1944.84,0.867555
5.13162,1948.7,0.867045
5.12148,1952.56,0.864284
5.11137,1956.42,0.864291
5.10131,1960.28,0.864116
5.09129,1964.14,0.862628
5.08131,1968.0,0.862832
5.07136,1971.85,0.863979
5.06146,1975.71,0.861839
5.05159,1979.57,0.86268
5.04176,1983.43,0.860118
5.03197,1987.29,0.858474
5.02222,1991.15,0.859154
5.01251,1995.01,0.857268
5.00283,1998.87,0.856386
4.99319,2002.73,0.853631
4.98359,2006.58,0.84889
4.97402,2010.44,0.844187
4.9645,2014.3,0.83771
4.955,2018.16,0.835594
4.94555,2022.02,0.830243
4.93613,2025.88,0.828754
4.92674,2029.74,0.823808
4.91739,2033.6,0.816206
4.90808,2037.45,0.81002
4.8988,2041.31,0.800453
4.88956,2045.17,0.798083
4.88035,2049.03,0.792438
4.87118,2052.89,0.783827
4.86204,2056.75,0.77693
4.85293,2060.61,0.771391
4.84386,2064.47,0.767832
4.83483,2068.33,0.759792
4.82582,2072.18,0.75985
4.81685,2076.04,0.751036
4.80792,2079.9,0.749377
4.79901,2083.76,0.74758
4.79014,2087.62,0.745302
4.7813,2091.48,0.741494
4.7725,2095.34,0.74131
4.76373,2099.2,0.739012
4.75498,2103.05,0.737078
4.74628,2106.91,0.737877
4.7376,2110.77,0.735544
4.72895,2114.63,0.734052
4.72034,2118.49,0.73262
4.71176,2122.35,0.731224
4.70321,2126.21,0.730533
4.69469,2130.07,0.730008
4.6862,2133.93,0.727004
4.67774,2137.78,0.725762
4.66931,2141.64,0.719225
4.66091,2145.5,0.714352
4.65254,2149.36,0.713256
4.64421,2153.22,0.711508
4.6359,2157.08,0.706984
4.62762,2160.94,0.705722
4.61937,2164.8,0.70152
4.61115,2168.65,0.694877
4.60296,2172.51,0.69314
4.5948,2176.37,0.692344
4.58667,2180.23,0.689169
4.57856,2184.09,0.690972
4.57049,2187.95,0.685644
4.56244,2191.81,0.681835
4.55442,2195.67,0.683719
4.54643,2199.53,0.680463
4.53847,2203.38,0.676364
4.53054,2207.24,0.67854
4.52263,2211.1,0.677802
4.51475,2214.96,0.682751
4.5069,2218.82,0.681744
4.49907,2222.68,0.682008
4.49128,2226.54,0.684448
4.48351,2230.4,0.683701
4.47576,2234.25,0.68112
4.46805,2238.11,0.67727
4.46036,2241.97,0.678896
4.45269,2245.83,0.675806
4.44505,2249.69,0.67016
4.43744,2253.55,0.668048
4.42986,2257.41,0.662666
4.4223,2261.27,0.660413
4.41476,2265.13,0.653254
4.40726,2268.98,0.65084
4.39977,2272.84,0.642761
4.39232,2276.7,0.639417
4.38488,2280.56,0.635622
4.37748,2284.42,0.628382
4.3701,2288.28,0.622568
4.36274,2292.14,0.618175
4.35541,2296.0,0.613082
4.3481,2299.85,0.603983
4.34082,2303.71,0.593035
4.33356,2307.57,0.584427
4.32632,2311.43,0.577546
4.31911,2315.29,0.572301
4.31192,2319.15,0.556358
4.30476,2323.01,0.554239
4.29762,2326.87,0.533223
4.29051,2330.72,0.527827
4.28342,2334.58,0.5225
4.27635,2338.44,0.529088
4.2693,2342.3,0.517381
4.26228,2346.16,0.523067
4.25528,2350.02,0.531936
4.24831,2353.88,0.523395
4.24135,2357.74,0.51652
4.23442,2361.6,0.518356
4.22751,2365.45,0.517841
4.22063,2369.31,0.530221
4.21377,2373.17,0.53609
4.20693,2377.03,0.536875
4.20011,2380.89,0.539441
4.19331,2384.75,0.544867
4.18654,2388.61,0.548148
4.17978,2392.47,0.545024
4.17305,2396.32,0.546539
4.16635,2400.18,0.550892
4.15966,2404.04,0.545578
4.15299,2407.9,0.547887
4.14635,2411.76,0.549633
4.13972,2415.62,0.550044
4.13312,2419.48,0.550437
4.12654,2423.34,0.545374
4.11998,2427.2,0.547437
4.11344,2431.05,0.541489
4.10692,2434.91,0.542562
4.10042,2438.77,0.541759
4.09394,2442.63,0.542607
4.08749,2446.49,0.538425
4.08105,2450.35,0.535156
4.07463,2454.21,0.53573
4.06824,2458.07,0.534197
4.06186,2461.92,0.536702
4.0555,2465.78,0.535885
4.04917,2469.64,0.537673
4.04285,2473.5,0.536138
4.03655,2477.36,0.536027
4.03027,2481.22,0.532653
4.02402,2485.08,0.534359
4.01778,2488.94,0.538265
4.01156,2492.8,0.537844
4.00536,2496.65,0.536643
3.99918,2500.51,0.536308
3.99301,2504.37,0.539838
3.98687,2508.23,0.538372
3.98075,2512.09,0.535226
3.97464,2515.95,0.526649
3.96856,2519.81,0.53235
3.96249,2523.67,0.530975
3.95644,2527.52,0.528373
3.95041,2531.38,0.5298
3.94439,2535.24,0.531554
3.9384,2539.1,0.529442
3.93242,2542.96,0.524837
3.92646,2546.82,0.525371
3.92052,2550.68,0.5237
3.9146,2554.54,0.525228
3.9087,2558.4,0.522163
3.90281,2562.25,0.525248
3.89694,2566.11,0.520061
3.89109,2569.97,0.519356
3.88526,2573.83,0.523781
3.87944,2577.69,0.525959
3.87364,2581.55,0.525797
3.86786,2585.41,0.525175
3.8621,2589.27,0.528523
3.85635,2593.12,0.523432
3.85062,2596.98,0.522361
3.84491,2600.84,0.520937
3.83921,2604.7,0.521496
3.83353,2608.56,0.526032
3.82787,2612.42,0.527912
3.82222,2616.28,0.518683
3.81659,2620.14,0.52384
3.81098,2624.0,0.522828
3.80538,2627.85,0.523615
3.7998,2631.71,0.517932
3.79424,2635.57,0.525144
3.78869,2639.43,0.518947
3.78316,2643.29,0.522902
3.77765,2647.15,0.522714
3.77215,2651.01,0.521792
3.76667,2654.87,0.522885
3.7612,2658.72,0.523158
3.75575,2662.58,0.52146
3.75031,2666.44,0.521655
3.74489,2670.3,0.520699
3.73949,2674.16,0.520647
3.7341,2678.02,0.520017
3.72873,2681.88,0.521127
3.72337,2685.74,0.518086
3.71803,2689.59,0.517875
3.7127,2693.45,0.517053
3.70739,2697.31,0.514449
3.7021,2701.17,0.519686
3.69681,2705.03,0.519798
3.69155,2708.89,0.52169
3.6863,2712.75,0.518449
3.68106,2716.61,0.522885
3.67584,2720.47,0.521157
3.67063,2724.32,0.527477
3.66544,2728.18,0.525966
3.66026,2732.04,0.531653
3.6551,2735.9,0.534466
3.64995,2739.76,0.530453
3.64482,2743.62,0.529249
3.6397,2747.48,0.527133
3.6346,2751.34,0.5287
3.6295,2755.19,0.532403
3.62443,2759.05,0.529994
3.61937,2762.91,0.531234
3.61432,2766.77,0.538793
3.60928,2770.63,0.542424
3.60427,2774.49,0.540124
3.59926,2778.35,0.53968
3.59427,2782.21,0.540826
3.58929,2786.07,0.540892
3.58432,2789.92,0.54674
3.57937,2793.78,0.543153
3.57444,2797.64,0.538106
3.56951,2801.5,0.536598
3.5646,2805.36,0.540164
3.55971,2809.22,0.537837
3.55482,2813.08,0.535084
3.54995,2816.94,0.54261
3.5451,2820.79,0.537824
3.54025,2824.65,0.545846
3.53543,2828.51,0.545205
3.53061,2832.37,0.551007
3.5258,2836.23,0.550391
3.52101,2840.09,0.556949
3.51624,2843.95,0.570039
3.51147,2847.81,0.569193
3.50672,2851.67,0.573124
3.50198,2855.52,0.583157
3.49726,2859.38,0.578028
3.49254,2863.24,0.570992
3.48784,2867.1,0.57508
3.48315,2870.96,0.578173
3.47848,2874.82,0.576247
3.47382,2878.68,0.579996
3.46917,2882.54,0.579363
3.46453,2886.39,0.581174
3.4599,2890.25,0.587143
3.45529,2894.11,0.586782
3.45069,2897.97,0.582732
3.4461,2901.83,0.59566
3.44152,2905.69,0.59895
3.43696,2909.55,0.606404
3.43241,2913.41,0.616087
3.42787,2917.27,0.609323
3.42334,2921.12,0.623483
3.41882,2924.98,0.62865
3.41432,2928.84,0.620779
3.40982,2932.7,0.619737
3.40534,2936.56,0.614052
3.40087,2940.42,0.616015
3.39642,2944.28,0.613218
3.39197,2948.14,0.60868
3.38754,2951.99,0.618019
3.38312,2955.85,0.610956
3.3787,2959.71,0.623884
3.37431,2963.57,0.623152
3.36992,2967.43,0.618593
3.36554,2971.29,0.621763
3.36118,2975.15,0.627033
3.35682,2979.01,0.615581
3.35248,2982.87,0.624667
3.34815,2986.72,0.627793
3.34383,2990.58,0.628873
3.33952,2994.44,0.624745
3.33522,2998.3,0.616606
