x1,x2,y_sndpgaz1
6.54411,1528.09,0.986358
6.52762,1531.95,0.986381
6.51122,1535.81,0.982837
6.4949,1539.67,0.981446
6.47867,1543.53,0.978891
6.46251,1547.38,0.981025
6.44644,1551.24,0.984382
6.43044,1555.1,0.985278
6.41452,1558.96,0.982809
6.39868,1562.82,0.982049
6.38292,1566.68,0.985178
6.36724,1570.54,0.985214
6.35163,1574.4,0.979216
6.3361,1578.26,0.983109
6.32065,1582.11,0.98395
6.30527,1585.97,0.984166
6.28997,1589.83,0.988144
6.27474,1593.69,0.987011
6.25958,1597.55,0.982539
6.2445,1601.41,0.984525
6.22949,1605.27,0.986209
6.21455,1609.13,0.986958
6.19968,1612.98,0.986893
6.18489,1616.84,0.984905
6.17016,1620.7,0.983187
6.1555,1624.56,0.988143
6.14092,1628.42,0.984114
6.1264,1632.28,0.986767
6.11195,1636.14,0.984575
6.09757,1640.0,0.981858
6.08326,1643.86,0.986839
6.06901,1647.71,0.983229
6.05483,1651.57,0.987791
6.04072,1655.43,0.987719
6.02667,1659.29,0.989548
6.01268,1663.15,0.992724
5.99877,1667.01,0.987822
5.98491,1670.87,0.991202
5.97112,1674.73,0.990045
5.9574,1678.58,0.994798
5.94373,1682.44,0.99399
5.93013,1686.3,0.988822
5.91659,1690.16,0.987912
5.90311,1694.02,0.993296
5.8897,1697.88,0.993142
5.87634,1701.74,0.99665
5.86305,1705.6,0.991227
5.84981,1709.46,0.990212
5.83664,1713.31,0.991025
5.82352,1717.17,0.990535
5.81046,1721.03,0.989007
5.79746,1724.89,0.987906
5.78452,1728.75,0.987387
5.77164,1732.61,0.985697
5.75882,1736.47,0.987671
5.74605,1740.33,0.98983
5.73333,1744.18,0.990115
5.72068,1748.04,0.988517
5.70808,1751.9,0.987945
5.69553,1755.76,0.987446
5.68304,1759.62,0.987972
5.67061,1763.48,0.987297
5.65822,1767.34,0.987993
5.6459,1771.2,0.987228
5.63362,1775.06,0.990054
5.6214,1778.91,0.990508
5.60924,1782.77,0.987985
5.59712,1786.63,0.990046
5.58506,1790.49,0.989386
5.57305,1794.35,0.989483
5.56109,1798.21,0.987946
5.54918,1802.07,0.984942
5.53732,1805.93,0.987167
5.52552,1809.78,0.985727
5.51376,1813.64,0.984194
5.50205,1817.5,0.984071
5.4904,1821.36,0.982594
5.47879,1825.22,0.985768
5.46723,1829.08,0.981375
5.45572,1832.94,0.98376
5.44426,1836.8,0.983742
5.43284,1840.66,0.982304
5.42148,1844.51,0.983216
5.41016,1848.37,0.984623
5.39889,1852.23,0.985145
5.38766,1856.09,0.986507
5.37649,1859.95,0.988346
5.36536,1863.81,0.986772
5.35427,1867.67,0.988145
5.34323,1871.53,0.987131
5.33224,1875.38,0.986127
5.32129,1879.24,0.987346
5.31038,1883.1,0.982489
5.29952,1886.96,0.987194
5.28871,1890.82,0.985248
5.27794,1894.68,0.986658
5.26721,1898.54,0.984192
5.25652,1902.4,0.981454
5.24588,1906.25,0.980265
5.23529,1910.11,0.983215
5.22473,1913.97,0.981571
5.21422,1917.83,0.98055
5.20375,1921.69,0.979468
5.19332,1925.55,0.981013
5.18293,1929.41,0.981447
5.17259,1933.27,0.982898
5.16228,1937.13,0.979848
5.15202,1940.98,0.978789
5.1418,1944.84,0.980215
5.13162,1948.7,0.981155
5.12148,1952.56,0.980288
5.11137,1956.42,0.981232
5.10131,1960.28,0.980265
5.09129,1964.14,0.979422
5.08131,1968.0,0.980995
5.07136,1971.85,0.978157
5.06146,1975.71,0.979782
5.05159,1979.57,0.979812
5.04176,1983.43,0.978796
5.03197,1987.29,0.979152
5.02222,1991.15,0.979966
5.01251,1995.01,0.979493
5.00283,1998.87,0.980123
4.99319,2002.73,0.980355
4.98359,2006.58,0.9803
4.97402,2010.44,0.979651
4.9645,2014.3,0.976551
4.955,2018.16,0.976736
4.94555,2022.02,0.974372
4.93613,2025.88,0.973849
4.92674,2029.74,0.975748
4.91739,2033.6,0.972292
4.90808,2037.45,0.969887
4.8988,2041.31,0.967938
4.88956,2045.17,0.964448
4.88035,2049.03,0.960069
4.87118,2052.89,0.954236
4.86204,2056.75,0.950847
4.85293,2060.61,0.948467
4.84386,2064.47,0.943162
4.83483,2068.33,0.935376
4.82582,2072.18,0.933331
4.81685,2076.04,0.926122
4.80792,2079.9,0.926197
4.79901,2083.76,0.922365
4.79014,2087.62,0.917944
4.7813,2091.48,0.915754
4.7725,2095.34,0.913363
4.76373,2099.2,0.913204
4.75498,2103.05,0.910112
4.74628,2106.91,0.90964
4.7376,2110.77,0.908676
4.72895,2114.63,0.907086
4.72034,2118.49,0.911434
4.71176,2122.35,0.913408
4.70321,2126.21,0.916
4.69469,2130.07,0.919962
4.6862,2133.93,0.917821
4.67774,2137.78,0.913868
4.66931,2141.64,0.908938
4.66091,2145.5,0.903818
4.65254,2149.36,0.900047
4.64421,2153.22,0.893229
4.6359,2157.08,0.886264
4.62762,2160.94,0.880611
4.61937,2164.8,0.87278
4.61115,2168.65,0.869251
4.60296,2172.51,0.866383
4.5948,2176.37,0.863423
4.58667,2180.23,0.862654
4.57856,2184.09,0.862958
4.57049,2187.95,0.864728
4.56244,2191.81,0.868916
4.55442,2195.67,0.875083
4.54643,2199.53,0.8794
4.53847,2203.38,0.888914
4.53054,2207.24,0.893967
4.52263,2211.1,0.901415
4.51475,2214.96,0.910608
4.5069,2218.82,0.915331
4.49907,2222.68,0.921086
4.49128,2226.54,0.9243
4.48351,2230.4,0.925311
4.47576,2234.25,0.925022
4.46805,2238.11,0.924478
4.46036,2241.97,0.922323
4.45269,2245.83,0.91879
4.44505,2249.69,0.914354
4.43744,2253.55,0.914377
4.42986,2257.41,0.911043
4.4223,2261.27,0.903995
4.41476,2265.13,0.898429
4.40726,2268.98,0.894188
4.39977,2272.84,0.887806
4.39232,2276.7,0.881183
4.38488,2280.56,0.87515
4.37748,2284.42,0.869452
4.3701,2288.28,0.859879
4.36274,2292.14,0.855723
4.35541,2296.0,0.848807
4.3481,2299.85,0.841389
4.34082,2303.71,0.839621
4.33356,2307.57,0.831421
4.32632,2311.43,0.830751
4.31911,2315.29,0.825485
4.31192,2319.15,0.822061
4.30476,2323.01,0.815138
4.29762,2326.87,0.805205
4.29051,2330.72,0.805486
4.28342,2334.58,0.813828
4.27635,2338.44,0.812747
4.2693,2342.3,0.803586
4.26228,2346.16,0.806743
4.25528,2350.02,0.804544
4.24831,2353.88,0.805541
4.24135,2357.74,0.799344
4.23442,2361.6,0.797811
4.22751,2365.45,0.802461
4.22063,2369.31,0.803242
4.21377,2373.17,0.804218
4.20693,2377.03,0.811537
